Subset,RMSE,MAE,MAPE,R2
train,977080.9163262767,546132.007839718,0.7656882973483979,0.38760043044022463
val,998451.0614370813,538287.6467622586,0.7464965579898549,0.34940972931435865
test,981880.8743985437,536032.7481456145,0.7151022577629028,0.3771320002558535
total,980198.440929242,543327.8337122751,0.753652281858137,0.38175053098079637
