Dataset,CPE,RMSE,MAE,R2
train,0.9999876123233413,17312063.083315134,2159515.885112328,-0.015804691989524278
val,0.9999864089170967,10087510.241569662,1999090.9077865705,-0.04087254567011067
test,0.9999876570192353,19788940.08470127,2226796.5473104813,-0.012823436771094876
