Subset,CPE,RMSE,MAE,R2
train,0.9999999870938648,17312078.36440848,2159542.608956883,-0.015806485260851266
val,0.999999979681862,10087543.662248794,1999118.0373477447,-0.040879442659389253
test,0.9999999835940578,19788955.800905954,2226823.9964235383,-0.012825045522922185
total,0.999999985684481,17271139.55305751,2156956.818862196,-0.01584407701817936
