Subset,RMSE,MAE,MAPE,R2
train,758118.6072582747,439854.08792271005,0.618554746387884,0.6313212325531625
val,911396.2544473456,512697.2882963351,0.7041839692119566,0.45791364315944916
test,923874.8545433431,518119.60039052577,0.6764634708735641,0.44855181491111606
total,809994.0702334397,462790.5051522992,0.6386983472923434,0.5778182883781714
