Subset,RMSE,MAE,MAPE,R2
train,977800.2663576433,546061.810745859,0.7677938307157887,0.3866983724706733
val,1001602.2678406296,547019.5628887063,0.7616745131131546,0.34529659942477087
test,984856.0166301419,544741.1626525254,0.7319178569096267,0.37335164673631804
total,981617.9562130263,545893.4510824982,0.7600068878948878,0.3799585468051905
