Subset,RMSE,MAE,MAPE,R2
train,808251.0873967976,477308.95578593377,0.6579757019303076,0.5809494549572185
val,924903.4133169578,542202.4452172256,0.7585471443593418,0.4417268222419608
test,948723.6640922398,544530.5390750698,0.7306953343123639,0.4184890666016011
total,850203.4664367766,497241.73427497206,0.68257550437079,0.5348623654961859
