Subset,RMSE,MAE,MAPE,R2
train,797389.956988495,468584.64665944886,0.6449752623924213,0.592136034222789
val,926329.5048971794,542833.090817666,0.7564025421868441,0.4400039126920504
test,952651.453216973,547140.9361133458,0.7389114957699611,0.4136640991572207
total,844035.5058107281,491719.728400315,0.674903786591548,0.5415867416197746
