Subset,RMSE,MAE,MAPE,R2
train,1200870.6172344764,760286.3558941252,1.2522991117406868,-1.0487882584619967e-07
val,1192203.1790991994,757850.7996875794,1.2647051595563357,-1.2749630457609129e-05
test,1197551.160799558,754790.5018911026,1.2248930439269445,-2.6043989720392346e-07
total,1199343.1551663035,758943.6728374382,1.2480584697241421,3.772567813697947e-10
