Subset,RMSE,MAE,MAPE,R2
train,778267.5275564854,444937.62367851124,0.5808320086045989,0.6114636684642014
val,916837.344754806,506335.3758640858,0.6510722858938738,0.4514217461928096
test,927794.37375435,510917.3567766772,0.627008138224563,0.44386287545977277
total,824746.3500059969,464272.49813334097,0.5970903920987904,0.5623000049966476
