Subset,RMSE,MAE,MAPE,R2
train,1086106.573522677,693558.8111614764,0.5321334136231726,0.24330877244097648
val,1310490.1968913758,739135.9893702893,0.5590559523829073,-0.12078304241140247
test,1307677.0940222682,735042.8077204754,0.5443427972135988,-0.10478927820674411
total,1157356.6059784337,706412.724644355,0.5372672292864998,0.13807371112586653
