epoch,RMSE_train,RMSE_val
178,441154.20535659057,1082418.7184584963
179,447473.3966473559,1073242.7798753956
180,445032.11872205796,1047118.377506574
181,442522.88345493306,1077225.9211932595
182,442106.42853834055,1019549.5555456504
183,441415.559135634,1054774.181132625
184,446085.4533032662,1018930.3840138769
185,444126.97401641303,1065276.7682738604
186,441623.62213242834,1084242.0962226717
187,444776.4396497551,1081376.085382571
188,444515.2538373107,1195140.1332262254
189,445267.8050125373,1388031.0084836
190,438776.50470303744,1021753.3434170891
191,442440.6241199035,1128456.8130327363
192,445548.54545150435,1083592.5510658207
193,442327.4082550826,1041639.6517183858
194,440852.86463753635,1065263.6951590907
195,443604.25359591655,1059102.0426002396
196,439549.5498887636,1111758.072100221
197,441520.41881727887,1029151.8986764458
198,439960.67380441976,1098676.301834773
199,439364.21052109974,1038644.6352614225
200,442649.99413014186,1129155.654701335
