Subset,RMSE,MAE,MAPE,R2
train,777490.8914141672,444959.50858452613,0.5828814398755203,0.6122387253375221
val,916377.2940189125,506673.9439905678,0.6536870086608945,0.45197213937371516
test,927200.7662889493,511257.44442500157,0.6294432838725597,0.4445742864140779
total,824048.6587930933,464389.687614053,0.5992734883440005,0.5630402332451971
