Subset,RMSE,MAE,MAPE,R2
train,1185005.4825877387,675005.9671581272,0.8659657862139528,0.02624807884191782
val,1247847.5305614017,667699.2287610889,0.9049494980815582,-0.09553948214776709
test,1177688.7235651016,665267.0713270202,0.8385459444868193,0.032896412421749344
total,1189986.3833290022,672327.6213876152,0.8643798857958146,0.015542296159058555
