epoch,CEL_train,CEL_val
1,0.6545721608049729,0.6050674319267273
2,0.5718865710146287,0.545741081237793
3,0.5444383796523599,0.5182487567265829
4,0.5316242821076337,0.5120454927285513
5,0.5272646581425386,0.5020530223846436
6,0.5204155445098877,0.49490829308827716
7,0.5165951550006866,0.49674216906229657
8,0.5195434479152455,0.48988598585128784
9,0.5130709795390859,0.48601122697194415
10,0.5126026675981634,0.4848835964997609
11,0.5100466924555161,0.48787425955136615
12,0.5156903301968294,0.4888572096824646
13,0.5144688031252693,0.48785504698753357
14,0.5120165295460645,0.47778502106666565
15,0.5076775287880617,0.4780953029791514
16,0.5042621247908649,0.4873582422733307
17,0.5107856585698969,0.47711894909540814
18,0.5053524795700522,0.478336234887441
19,0.5130306622561287,0.481949379046758
20,0.5059169636053198,0.460745245218277
21,0.5082064008011538,0.47927329937616986
22,0.5066812003360075,0.47107817729314166
23,0.5137115015703089,0.49090084433555603
24,0.5196756229681128,0.4732930858929952
25,0.5139932106522953,0.4784918824831645
