Subset,RMSE,MAE,MAPE,R2
train,779835.1007654598,444898.8504565813,0.5766168033294752,0.6098969256650404
val,917882.5380721837,505728.7522190993,0.6458447275333753,0.45017027634614004
test,928866.1513982676,510227.21753171575,0.622010037175724,0.4425772465917336
total,826139.2169691467,464046.6746410505,0.5926173852992984,0.5608203435929613
