Subset,RMSE,MAE,MAPE,R2
train,761983.125,450352.9375,0.6692602634429932,0.5973772760567311
val,908868.625,537313.5,0.8070964217185974,0.4188246417599951
test,931231.25,541729.125,0.7869459390640259,0.3953180229882328
total,813923.75,477322.96875,0.7065792083740234,0.539446063238431
