Subset,RMSE,MAE,MAPE,R2
train,1248570.6163482207,790520.6555627465,1.2509226657126906,-8.041591748053634e-08
val,1237870.1963521272,787454.1251270325,1.2624352038955255,-9.698021444126681e-06
test,1244115.8049577014,784701.2220022863,1.2244819439320274,-7.481359309835511e-08
total,1246614.3775473216,789050.1666793686,1.24678574774913,-1.876450106408356e-10
