Subset,RMSE,MAE,MAPE,R2
train,1232435.5264756395,702051.3703585815,0.8662706630897691,0.025678620147205344
val,1296483.869303017,694178.1377297172,0.9046011642438514,-0.09695353917765925
test,1223777.8703334453,691906.8834046066,0.839175183728841,0.03242729391042065
total,1237271.2121807972,699235.2640705975,0.8646843196124887,0.014933491368993135
