epoch,CEL_train,CEL_val
1,0.6531779240159428,0.6106138428052267
2,0.5720549120622522,0.5483145515124003
3,0.5504179070977604,0.5314129988352457
4,0.5360947251319885,0.5245877305666605
5,0.5361398774034837,0.5038387477397919
6,0.5324479972614962,0.5119839906692505
7,0.527971558711108,0.515440414349238
8,0.5284601344781763,0.5050461788972219
9,0.5226917792769039,0.5015727778275808
10,0.5231855949934792,0.498724897702535
11,0.5227617551298702,0.508322685956955
12,0.5245013727861292,0.5034023225307465
13,0.5281946992172915,0.4907623330752055
14,0.5245136390714085,0.49314714471499127
15,0.5140671028810389,0.5055684149265289
16,0.5138956588857314,0.5043651660283407
17,0.5199479092569912,0.4966128369172414
18,0.524528394727146,0.5088215271631876
19,0.5281358799513649,0.49650903542836505
20,0.5152909387560451,0.4906871020793915
21,0.517910443684634,0.5045495827992758
22,0.518638063879574,0.48809606830279034
23,0.5204684979775372,0.4993891517321269
24,0.5265377304133247,0.4960630536079407
25,0.5214617340003743,0.493129958709081
