Subset,RMSE,MAE,MAPE,R2
train,777544.1768703585,445000.39504943084,0.5829734631544972,0.6121855729606137
val,916362.0177848765,506674.73710090615,0.6537130880883012,0.45199041073886537
test,927304.66946996,511298.1132693417,0.6295366869384336,0.4444497961545626
total,824105.5353579503,464426.5216275367,0.5993591938606193,0.5629799124669794
