Subset,RMSE,MAE,MAPE,R2
train,811076.2487366113,479017.29586680135,0.657291015965499,0.5780148360135612
val,924630.4840188148,541228.3548230013,0.752911344298906,0.44205625474944477
test,948088.8902196289,543445.421220044,0.7249332440252894,0.4192669632066992
total,851913.7982297288,498123.1764408258,0.6803802936411839,0.5329890730458898
